2024-06-07 16:33:56	Test-time adaptation benchmark: scenarios=Scenario(task='classification', model_name='resnet50', model_adaptation_method='dyn', model_selection_method='last_iterate', base_data_name='cifar10', src_data_name='cifar10', test_domains=[TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-gaussian_noise-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='gaussian_noise', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1), TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-shot_noise-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='shot_noise', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1), TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-impulse_noise-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='impulse_noise', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1), TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-defocus_blur-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='defocus_blur', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1), TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-glass_blur-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='glass_blur', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1), TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-motion_blur-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='motion_blur', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1), TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-zoom_blur-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='zoom_blur', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1), TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-snow-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='snow', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1), TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-frost-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='frost', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1), TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-fog-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='fog', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1), TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-brightness-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='brightness', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1), TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-contrast-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='contrast', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1), TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-elastic_transform-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='elastic_transform', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1), TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-pixelate-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='pixelate', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1), TestDomain(base_data_name='cifar10', data_name='cifar10_c_deterministic-jpeg_compression-5', shift_type='synthetic', shift_property=SyntheticShiftProperty(shift_degree=5, shift_name='jpeg_compression', version='deterministic', has_shift=True), domain_sampling_name='uniform', domain_sampling_value=None, domain_sampling_ratio=1)], test_case=TestCase(inter_domain=BatchMixing(non_iid_pattern='class_wise_over_domain', non_iid_ness=0.01, batch_size=64, sp_order='Shuffle_Shuffle', sp_scenarios='Homo&Cross&Heter'), batch_size=64, data_wise='batch_wise', offline_pre_adapt=False, episodic=False, intra_domain_shuffle=True))
2024-06-07 16:38:57		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:38:58		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:38:58		initialize selection method=last_iterate.
2024-06-07 16:38:58		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:38:59		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:38:59		initialize selection method=last_iterate.
2024-06-07 16:38:59		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:00		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:00		initialize selection method=last_iterate.
2024-06-07 16:39:00		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:00		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:00		initialize selection method=last_iterate.
2024-06-07 16:39:00		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:01		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:01		initialize selection method=last_iterate.
2024-06-07 16:39:01		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:02		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:02		initialize selection method=last_iterate.
2024-06-07 16:39:02		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:03		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:03		initialize selection method=last_iterate.
2024-06-07 16:39:03		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:04		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:04		initialize selection method=last_iterate.
2024-06-07 16:39:04		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:05		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:05		initialize selection method=last_iterate.
2024-06-07 16:39:05		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:05		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:05		initialize selection method=last_iterate.
2024-06-07 16:39:05		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:06		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:06		initialize selection method=last_iterate.
2024-06-07 16:39:06		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:07		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:07		initialize selection method=last_iterate.
2024-06-07 16:39:07		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:08		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:08		initialize selection method=last_iterate.
2024-06-07 16:39:08		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:09		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:09		initialize selection method=last_iterate.
2024-06-07 16:39:09		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:09		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:10		initialize selection method=last_iterate.
2024-06-07 16:39:10		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:10		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:10		initialize selection method=last_iterate.
2024-06-07 16:39:10		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:11		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:11		initialize selection method=last_iterate.
2024-06-07 16:39:11		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:12		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:12		initialize selection method=last_iterate.
2024-06-07 16:39:12		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:13		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:13		initialize selection method=last_iterate.
2024-06-07 16:39:13		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:14		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:14		initialize selection method=last_iterate.
2024-06-07 16:39:14		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:14		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:14		initialize selection method=last_iterate.
2024-06-07 16:39:14		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:15		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:15		initialize selection method=last_iterate.
2024-06-07 16:39:15		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:16		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:16		initialize selection method=last_iterate.
2024-06-07 16:39:16		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:17		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:17		initialize selection method=last_iterate.
2024-06-07 16:39:17		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:18		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:18		initialize selection method=last_iterate.
2024-06-07 16:39:18		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:18		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:18		initialize selection method=last_iterate.
2024-06-07 16:39:18		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:19		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:19		initialize selection method=last_iterate.
2024-06-07 16:39:19		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:20		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:20		initialize selection method=last_iterate.
2024-06-07 16:39:20		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:21		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:21		initialize selection method=last_iterate.
2024-06-07 16:39:21		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:22		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:22		initialize selection method=last_iterate.
2024-06-07 16:39:22		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:23		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:23		initialize selection method=last_iterate.
2024-06-07 16:39:23		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:23		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:23		initialize selection method=last_iterate.
2024-06-07 16:39:23		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:24		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:24		initialize selection method=last_iterate.
2024-06-07 16:39:24		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:25		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:25		initialize selection method=last_iterate.
2024-06-07 16:39:25		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:26		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:26		initialize selection method=last_iterate.
2024-06-07 16:39:26		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:27		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:27		initialize selection method=last_iterate.
2024-06-07 16:39:27		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:28		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:28		initialize selection method=last_iterate.
2024-06-07 16:39:28		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:29		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:29		initialize selection method=last_iterate.
2024-06-07 16:39:29		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:29		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:29		initialize selection method=last_iterate.
2024-06-07 16:39:29		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:30		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:30		initialize selection method=last_iterate.
2024-06-07 16:39:30		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:31		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:31		initialize selection method=last_iterate.
2024-06-07 16:39:31		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:32		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:32		initialize selection method=last_iterate.
2024-06-07 16:39:32		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:33		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:33		initialize selection method=last_iterate.
2024-06-07 16:39:33		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:34		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:34		initialize selection method=last_iterate.
2024-06-07 16:39:34		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:35		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:35		initialize selection method=last_iterate.
2024-06-07 16:39:35		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:35		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:35		initialize selection method=last_iterate.
2024-06-07 16:39:35		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:36		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:36		initialize selection method=last_iterate.
2024-06-07 16:39:36		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:37		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:37		initialize selection method=last_iterate.
2024-06-07 16:39:37		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:38		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:38		initialize selection method=last_iterate.
2024-06-07 16:39:38		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:39		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:39		initialize selection method=last_iterate.
2024-06-07 16:39:39		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:40		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:40		initialize selection method=last_iterate.
2024-06-07 16:39:40		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:40		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:40		initialize selection method=last_iterate.
2024-06-07 16:39:40		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:41		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:41		initialize selection method=last_iterate.
2024-06-07 16:39:41		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:42		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:42		initialize selection method=last_iterate.
2024-06-07 16:39:42		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:43		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:43		initialize selection method=last_iterate.
2024-06-07 16:39:43		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:44		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:44		initialize selection method=last_iterate.
2024-06-07 16:39:44		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:45		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:45		initialize selection method=last_iterate.
2024-06-07 16:39:45		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:46		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:46		initialize selection method=last_iterate.
2024-06-07 16:39:46		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:47		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:47		initialize selection method=last_iterate.
2024-06-07 16:39:47		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:48		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:48		initialize selection method=last_iterate.
2024-06-07 16:39:48		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:49		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:49		initialize selection method=last_iterate.
2024-06-07 16:39:49		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:49		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:49		initialize selection method=last_iterate.
2024-06-07 16:39:49		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:50		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:50		initialize selection method=last_iterate.
2024-06-07 16:39:50		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:51		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:51		initialize selection method=last_iterate.
2024-06-07 16:39:51		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:52		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:52		initialize selection method=last_iterate.
2024-06-07 16:39:52		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:53		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:53		initialize selection method=last_iterate.
2024-06-07 16:39:53		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:54		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:54		initialize selection method=last_iterate.
2024-06-07 16:39:54		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:54		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:54		initialize selection method=last_iterate.
2024-06-07 16:39:54		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:55		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:55		initialize selection method=last_iterate.
2024-06-07 16:39:55		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:56		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:56		initialize selection method=last_iterate.
2024-06-07 16:39:56		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:57		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:57		initialize selection method=last_iterate.
2024-06-07 16:39:57		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:58		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:58		initialize selection method=last_iterate.
2024-06-07 16:39:58		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:59		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:59		initialize selection method=last_iterate.
2024-06-07 16:39:59		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:39:59		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:39:59		initialize selection method=last_iterate.
2024-06-07 16:39:59		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:01		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:01		initialize selection method=last_iterate.
2024-06-07 16:40:01		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:02		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:02		initialize selection method=last_iterate.
2024-06-07 16:40:02		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:03		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:03		initialize selection method=last_iterate.
2024-06-07 16:40:03		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:03		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:03		initialize selection method=last_iterate.
2024-06-07 16:40:03		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:04		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:04		initialize selection method=last_iterate.
2024-06-07 16:40:04		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:05		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:05		initialize selection method=last_iterate.
2024-06-07 16:40:05		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:06		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:06		initialize selection method=last_iterate.
2024-06-07 16:40:06		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:07		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:07		initialize selection method=last_iterate.
2024-06-07 16:40:07		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:08		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:08		initialize selection method=last_iterate.
2024-06-07 16:40:08		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:08		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:08		initialize selection method=last_iterate.
2024-06-07 16:40:08		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:09		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:09		initialize selection method=last_iterate.
2024-06-07 16:40:09		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:10		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:10		initialize selection method=last_iterate.
2024-06-07 16:40:10		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:11		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:11		initialize selection method=last_iterate.
2024-06-07 16:40:11		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:12		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:12		initialize selection method=last_iterate.
2024-06-07 16:40:12		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:13		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:13		initialize selection method=last_iterate.
2024-06-07 16:40:13		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:14		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:14		initialize selection method=last_iterate.
2024-06-07 16:40:14		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:14		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:14		initialize selection method=last_iterate.
2024-06-07 16:40:14		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:15		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:15		initialize selection method=last_iterate.
2024-06-07 16:40:15		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:16		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:16		initialize selection method=last_iterate.
2024-06-07 16:40:16		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:17		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:17		initialize selection method=last_iterate.
2024-06-07 16:40:17		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:18		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:18		initialize selection method=last_iterate.
2024-06-07 16:40:18		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:18		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:19		initialize selection method=last_iterate.
2024-06-07 16:40:19		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:19		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:19		initialize selection method=last_iterate.
2024-06-07 16:40:19		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:20		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:20		initialize selection method=last_iterate.
2024-06-07 16:40:20		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:21		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:21		initialize selection method=last_iterate.
2024-06-07 16:40:21		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:22		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:22		initialize selection method=last_iterate.
2024-06-07 16:40:22		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:23		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:23		initialize selection method=last_iterate.
2024-06-07 16:40:23		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:24		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:24		initialize selection method=last_iterate.
2024-06-07 16:40:24		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:24		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:24		initialize selection method=last_iterate.
2024-06-07 16:40:24		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:25		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:25		initialize selection method=last_iterate.
2024-06-07 16:40:25		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:26		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:26		initialize selection method=last_iterate.
2024-06-07 16:40:26		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:27		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:27		initialize selection method=last_iterate.
2024-06-07 16:40:27		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:28		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:28		initialize selection method=last_iterate.
2024-06-07 16:40:28		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:29		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:29		initialize selection method=last_iterate.
2024-06-07 16:40:29		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:29		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:29		initialize selection method=last_iterate.
2024-06-07 16:40:29		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:30		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:30		initialize selection method=last_iterate.
2024-06-07 16:40:30		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:31		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:31		initialize selection method=last_iterate.
2024-06-07 16:40:31		adapt the model for 1 steps with lr=0.0001.
2024-06-07 16:40:32		select the optimal model (1-th step and lr=0.0001) for the current mini-batch.
2024-06-07 16:40:32		initialize selection method=last_iterate.
2024-06-07 16:40:32		adapt the model for 1 steps with lr=0.0001.
